Auroville Library,12.002249,79.812575,,Auroville Main Library,books
Dosa Corner Kiosk,12.004115,79.801399,,,
Dreamer's Cafe,12.004162,79.80122,,,
Guest Accomodation Service,12.003936,79.800592,,,
International House,12.00603,79.799349,,,
Joy Community Guesthouse,12.001576,79.806605,joyauroville.wix.com,,
Kala Kendra,12.007001,79.800888,,,
Kalki,12.003947,79.800516,maroma.com,,
Le Zephyr Cafe,12.003601,79.800667,,,
Mira Boutique,12.003742,79.800593,,,
Red Earth Horse Riding School,11.994713,79.790705,rers.in,,
Right Path Cafe,12.003785,79.80052,,,
Sacred Groves,12.000149,79.803494,sacredgroves.in,,
Savitri Bhavan,12.00646,79.804307,savitribhavan.org,,
Solitude Farm,12.006278,79.797464,,Organic Farm,"organic, farming, organic food, breakfast, lunch"
Tibetan Pavilion,12.006867,79.800046,,,
Visitor Center,12.00382,79.800588,auroville.org,,
Post office,12.007075,79.802782,,,
Swagatham Guest House,12.007182,79.802549,,,
Atithigriha Guest house,12.007743,79.80286,,,
Language Lab,12.008766,79.804154,,,
Unity Pavilion,12.007211,79.804197,,,
Auroville Papers Bookshop,12.007017,79.804056,,,
Nandanam School,12.003676,79.807026,,,
Center Guest House,12.002452,79.8075,,,
Pour Tous Distribution Center,12.00154,79.810374,,,
Solar Kitchen,12.001516,79.810828,,,
La Terrace Cafe,12.001533,79.811002,,,
Auroville Nursery,12.001798,79.80998,,,
